id,name,lat,lon,demand,tw_start,tw_end,cluster
0,DEPOT,43.8563,18.4131,0,0,1440,37
1,Bingo,43.85648727416992,18.389095306396484,4,480,1080,37
2,Juventa Sport,44.77138900756836,17.191518783569336,1,480,1080,5
3,Comunicare,43.34769821166992,17.807174682617188,9,480,1080,11
4,Mlinar,43.34616470336914,17.801671981811523,8,480,1080,11
5,Autocentar Margetić,44.89132881164551,18.765985098752108,8,480,1080,20
6,Knežević 66,43.82347106933594,17.591611862182617,5,480,1080,14
7,Wash&Dry Mostar,43.35190963745117,17.80203628540039,4,480,1080,11
8,Shop_8,45.05209732055664,17.308772563934326,18,480,1080,19
9,LC Waikiki,44.81754302978516,17.215717315673828,3,480,1080,5
10,Jukić,44.82516098022461,18.720518112182617,19,480,1080,20
11,Shop_11,44.56828308105469,16.094425201416016,14,480,1080,43
12,Shop_12,44.60676956176758,17.860084533691406,2,480,1080,46
13,Tamara,44.77327728271485,17.178504943847656,1,480,1080,5
14,Shop_14,44.7525520324707,17.16200828552246,3,480,1080,5
15,Minimarkt,43.25796890258789,17.891672134399414,7,480,1080,11
16,m:tel,44.77162551879883,17.191884994506836,8,480,1080,5
17,Shop_17,43.82255554199219,17.608285903930664,17,480,1080,14
18,Foto Pava,44.77262115478516,17.193937301635742,20,480,1080,5
19,Inox Metal Centar,44.83406829833984,17.182830810546875,1,480,1080,5
20,Mini Market,43.93854522705078,17.578996113368444,18,480,1080,14
21,Shop_21,43.34614562988281,17.800579071044922,7,480,1080,11
22,Shop_22,43.34627914428711,17.799779891967773,18,480,1080,11
23,Electronic World d.o.o. Sarajevo,43.85237884521485,18.430788040161133,14,480,1080,37
24,Trgošped Baucentar,44.13521766662598,18.126192819954145,8,480,1080,41
25,MODELİA,43.43707275390625,17.410531997680664,15,480,1080,4
26,Kalea,43.85848617553711,18.320189476013184,19,480,1080,2
27,Pekara Kraljevac,43.98739242553711,18.178135999043786,9,480,1080,12
28,Shop_28,44.81337356567383,15.867453575134276,1,480,1080,6
29,Bagić,44.606689453125,17.859025955200195,6,480,1080,46
30,Kvimpeks,44.61741638183594,17.37101173400879,14,480,1080,35
31,Tehnika Kubat,44.14726257324219,18.134790420532227,11,480,1080,41
32,Kuprešak,44.77119445800781,17.191234588623047,9,480,1080,5
33,Sjemenarna,43.34946060180664,17.797698974609375,5,480,1080,11
34,Konzum,44.81521987915039,15.86898393350489,7,480,1080,6
35,Cvjećara Orhideja,44.968299865722656,18.30116081237793,11,480,1080,30
36,Shop_36,44.97905731201172,16.724634170532227,4,480,1080,3
37,Minutica,44.77619171142578,17.18810272216797,3,480,1080,5
38,Lutrija BiH - Titova,43.349945068359375,17.812368392944336,13,480,1080,11
39,veni.com servis računara,44.85991668701172,18.81262969970703,4,480,1080,20
40,Digitalno,43.20695877075195,17.668380737304688,12,480,1080,28
41,Pekarnica Zrno,43.719635009765625,17.2279052734375,12,480,1080,15
42,Ella,44.76433944702149,17.189599990844727,20,480,1080,5
43,Eso promet,43.13670349121094,17.78301452196561,9,480,1080,28
44,ERONET Centar,44.72936248779297,18.08867073059082,2,480,1080,10
45,Umbrella,43.828704833984375,18.31111717224121,15,480,1080,2
46,"S.T.R. ""ADNA""",43.855281829833984,18.393218994140625,18,480,1080,37
47,CM,44.88430404663086,16.154451370239258,4,480,1080,39
48,Tiffany,43.82904815673828,18.311323165893555,13,480,1080,2
49,iNovine,43.34687423706055,17.79688835144043,3,480,1080,11
50,Konzum,43.85111999511719,18.367446899414062,18,480,1080,2
51,Zara,44.53181838989258,18.65117835998535,10,480,1080,16
52,Val Adria,42.927207946777344,17.613920211791992,20,480,1080,18
53,"Knjižara ""Famis""",43.34453201293945,17.813404083251953,12,480,1080,11
54,Elite,44.76358413696289,17.1911678314209,19,480,1080,5
55,Family,44.7638053894043,17.19023895263672,7,480,1080,5
56,Trdelnik,43.85939407348633,18.428272247314453,3,480,1080,37
57,Tuš,44.84466171264648,15.82625675201416,2,480,1080,6
58,Gvoždjara kod Brke,44.86238479614258,18.822284698486328,8,480,1080,20
59,Mozzart,44.77379608154297,17.199974060058594,10,480,1080,5
60,Interšpar,44.794246673583984,18.903867721557617,3,480,1080,20
61,Centralprom,43.65670394897461,17.9615535736084,8,480,1080,29
62,Auto dijelovi Adis,44.66929244995117,17.93318748474121,4,480,1080,32
63,Fortuna,44.77268600463867,17.186254501342773,13,480,1080,5
64,"Mesnica ""Husić""",43.328269958496094,17.822969436645508,9,480,1080,11
65,BORBOLETA Joaillerie,43.348609924316406,17.80447006225586,15,480,1080,11
66,Shop_66,43.877254486083984,18.40277099609375,12,480,1080,37
67,"Auto - elektičar  ""Iskra""",44.03602981567383,17.45716094970703,6,480,1080,36
68,Saten,43.81381988525391,18.57048988342285,12,480,1080,33
69,Bingo Centar Istočno Sarajevo,43.82393646240234,18.36188673868053,12,480,1080,2
70,Intersport,44.72090530395508,18.083396911621094,7,480,1080,10
71,TR Mišo,44.933048248291016,18.191781997680664,9,480,1080,30
72,Kort,44.78695869445801,17.194646974404655,3,480,1080,5
73,Frizerski salon Apolon,43.820159912109375,18.362239837646484,20,480,1080,2
74,DP market,43.9923095703125,18.176929473876957,6,480,1080,12
75,Premier,43.85794448852539,18.421789169311523,18,480,1080,37
76,Mr. Roberto,43.34951400756836,17.800399780273438,8,480,1080,11
77,Konzum,43.85028839111328,18.395660400390625,6,480,1080,37
78,Šole,44.53325653076172,18.639965057373047,15,480,1080,16
79,Mad Parfumeur,43.307411193847656,17.8297061920166,13,480,1080,11
80,Pia Lank by Planika,43.85551071166992,18.40804481506348,9,480,1080,37
81,L Bos,44.76930618286133,17.18987464904785,18,480,1080,5
82,CO -TRINK,43.46644973754883,17.344724655151367,8,480,1080,4
83,Zelena pijaca,45.1846923828125,16.805498123168945,11,480,1080,49
84,Nešo market,45.14615249633789,18.005327224731445,2,480,1080,23
85,krema,43.34383392333984,17.808746337890625,8,480,1080,11
86,Malinić,44.9825325012207,16.72027015686035,2,480,1080,3
87,EKI,43.34021759033203,17.798845291137695,11,480,1080,11
88,Barić,43.9893684387207,18.04307556152344,13,480,1080,12
89,Crvena jabuka,44.13113784790039,18.120548248291016,9,480,1080,41
90,Shop_90,44.53787040710449,18.673707962036133,3,480,1080,16
91,Nada,43.37885284423828,17.60037612915039,7,480,1080,4
92,Zoki Bau Centar,44.79939651489258,17.20902202526728,19,480,1080,5
93,Talih,44.44199752807617,18.65710830688477,11,480,1080,16
94,Repro-Karić digitalna štamparija,44.55807495117188,18.665451049804688,7,480,1080,16
95,Premier,44.7633171081543,17.200450897216797,16,480,1080,5
96,b Bazar,43.85055160522461,18.36282157897949,13,480,1080,2
97,Bingo,44.53087615966797,18.6926383972168,15,480,1080,16
98,Shop_98,45.14437103271485,17.26227569580078,5,480,1080,19
99,Shop_99,43.86165809631348,18.41343688964844,9,480,1080,37
100,Shop_100,43.99282836914063,18.177112579345703,5,480,1080,12
101,Tobacco press,43.71603775024414,17.228620529174805,8,480,1080,15
102,Game Zone Doglodi,43.85111999511719,18.30210698836031,18,480,1080,2
103,Vuković,44.77034759521485,17.190942764282227,18,480,1080,5
104,Lafka,44.77195358276367,17.18668556213379,9,480,1080,5
105,Kras Oprema,43.20707702636719,17.667949676513672,19,480,1080,28
106,Prodavnica mjesovite robe,44.87436676025391,18.815149307250977,14,480,1080,20
107,S Simply Wear,44.76860046386719,17.190160751342773,19,480,1080,5
108,Bojprom,44.53175354003906,18.650962829589844,13,480,1080,16
109,Iris doo,43.948577880859375,17.55517344576247,12,480,1080,14
110,MB Projekt - Salon namještaja,44.76567459106445,17.206613540649414,8,480,1080,5
111,EKO,44.692501068115234,18.994115829467773,5,480,1080,22
112,CITY parfumerija,45.025856018066406,18.699369430541992,17,480,1080,20
113,Amko,43.860145568847656,18.22583770751953,16,480,1080,42
114,Shop_114,42.703887939453125,18.35063362121582,3,480,1080,7
115,Shop_115,44.43838119506836,18.14528465270996,2,480,1080,31
116,Total Plus,44.98246765136719,16.72005271911621,4,480,1080,3
117,"Organizacija vjenčanja ""Venera""",44.86869812011719,17.66208839416504,5,480,1080,13
118,Pizzerija Mahir,43.86134338378906,18.43373680114746,6,480,1080,37
119,Shop_119,44.01848602294922,18.182994842529297,14,480,1080,12
120,"Trgovačka radnja ""Usput""",44.38689231872559,18.187186493593103,20,480,1080,31
121,Shop_121,44.54817962646485,18.479337692260746,3,480,1080,34
122,Levi's,43.85555267333984,18.40818214416504,13,480,1080,37
123,Brojler,43.86055755615234,18.43159484863281,13,480,1080,37
124,ESOPROMET,43.08710479736328,17.930816650390625,20,480,1080,28
125,Shop_125,44.18804168701172,17.921531677246094,15,480,1080,26
126,Synergie,44.76959228515625,17.194839477539062,17,480,1080,5
127,Polovna rova,43.84451675415039,18.27745056152344,9,480,1080,2
128,Tehnomag,44.53004455566406,18.687475204467773,18,480,1080,16
